id_funding,name,sector,industry,subindustry,zip,amount,date,investor
"74907","Company 541180","Internet","Stealth Mode","","10010","3","4/18/2011","FreshTracks Capital"
"80406","Company 584997","Internet","eCommerce","Discount","10014","1","1/29/2010","Baroda Ventures"
"74907","Company 541188","Internet","Stealth Mode","","10010","3","4/18/2011","RRE Ventures"
"80406","Company 584994","Internet","eCommerce","Discount","10014","1","1/29/2010","First Round Capital"
"74907","Company 541187","Internet","Stealth Mode","","10010","3","4/18/2011","Zelkova Ventures"
"80406","Company 584990","Internet","eCommerce","Discount","10014","1","1/29/2010","SoftTech VC"
"80406","Company 584997","Internet","eCommerce","Discount","10014","1","1/29/2010","SV Angel"
"104144","Company 541789","Internet","eCommerce","Jewelry","10003","1.1","12/17/2010","Accel Partners"
"104144","Company 541785","Internet","eCommerce","Jewelry","10003","1.1","12/17/2010","Founder Collective"
"104144","Company 541782","Internet","eCommerce","Jewelry","10003","1.1","12/17/2010","Lerer Ventures"
"77982","Company 538531","Internet","eCommerce","B2B Commerce","10012","0.6","6/21/2011","Lerer Ventures"
"98171","Company 528516","Internet","eCommerce","Auto","10001","0.73","5/20/2010","RPM Ventures"
"74907","Company 541189","Internet","Stealth Mode","","10010","3","4/18/2011","Anduin Ventures"
"96946","Company 767326","Internet","Stealth Mode","","10010","1.2","4/19/2012","SV Angel"
"74907","Company 541183","Internet","Stealth Mode","","10010","3","4/18/2011","ff Venture Capital"
"69324","Company 512384","Internet","eCommerce","Marketplace","10016","1.1","10/26/2010","Canaan Partners"
"66388","Company 357614","Internet","eCommerce","Events & Ticketing","10013","0.75","1/14/2010","Stage 1 Ventures"
"43300","Company 492537","Internet","Internet Software & Services","Travel","10018","0.62","1/21/2010","Baroda Ventures"
"69324","Company 512387","Internet","eCommerce","Marketplace","10016","1.1","10/26/2010","First Round Capital"
"69506","Company 513162","Internet","Internet Software & Services","Photo","10013","0.75","11/5/2010","Index Ventures"
"43300","Company 492532","Internet","Internet Software & Services","Travel","10018","0.62","1/21/2010","First Round Capital"
